GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
appliweb,fr.diginamic.appliweb.controleurs,VilleController,48,26,0,0,9,6,8,5,8,5
appliweb,fr.diginamic.appliweb.controleurs,DepartementController,38,3,0,0,8,1,7,1,7,1
appliweb,fr.diginamic.appliweb,AppliwebApplication,5,3,0,0,2,1,1,1,1,1
appliweb,fr.diginamic.appliweb.utils.pdf,PdfUtils,389,39,6,0,72,6,8,2,5,2
appliweb,fr.diginamic.appliweb.utils.pdf,CellFactory,95,0,0,0,16,0,4,0,4,0
appliweb,fr.diginamic.appliweb.services,DepartementServiceDefaut,192,108,21,19,44,24,19,11,7,3
appliweb,fr.diginamic.appliweb.services,VilleServiceDefaut,216,195,22,10,40,38,20,10,5,9
appliweb,fr.diginamic.appliweb.mappers,VilleMapper,0,58,0,0,0,11,0,5,0,5
appliweb,fr.diginamic.appliweb.mappers,VilleSimpleMapper,23,3,0,0,3,1,3,1,3,1
appliweb,fr.diginamic.appliweb.mappers,DepartementSimpleMapper,11,33,0,0,1,8,2,3,2,3
appliweb,fr.diginamic.appliweb.mappers,DepartementMapper,30,21,0,0,4,6,3,2,3,2
appliweb,fr.diginamic.appliweb.entites,Ville,56,31,8,0,11,14,7,9,3,9
appliweb,fr.diginamic.appliweb.entites,Departement,60,24,8,0,13,11,9,7,5,7
appliweb,fr.diginamic.appliweb.utils,StringUtils,16,0,0,0,2,0,2,0,2,0
appliweb,fr.diginamic.appliweb.exceptions,ExceptionManager,10,3,0,0,2,1,2,1,2,1
appliweb,fr.diginamic.appliweb.exceptions,ExceptionTechnique,4,0,0,0,2,0,1,0,1,0
appliweb,fr.diginamic.appliweb.exceptions,ExceptionFonctionnelle,0,4,0,0,0,2,0,1,0,1
appliweb,fr.diginamic.appliweb.dao,VilleDao,88,3,4,0,22,1,8,1,6,1
appliweb,fr.diginamic.appliweb.dao,DepartementDao,103,3,4,0,24,1,9,1,7,1
appliweb,fr.diginamic.appliweb.mappers.dtos,VilleDto,15,37,0,0,8,15,4,7,4,7
appliweb,fr.diginamic.appliweb.mappers.dtos,DepartementDto,16,29,0,0,8,10,4,5,4,5
